entity_id,entity_type,experiment_scope,reported_name,normalized_name,normalization_status,evidence_quote,source_section,source_file,page_or_xml_id,human_decision,human_reason
ENT-F01,lnp_formulation,SHARED,LNPs-siMicu1,siMicu1-loaded lipid nanoparticles,synonym,obtain the final preparation of LNPs-siMicu1,2. Materials and Methods > 2.1 Preparation and characterization of lipid nanoparticles (LNPs)-siMicu1,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-C01,lnp_component,SHARED,Cholesterol,cholesterol,exact,Cholesterol and DSPE-PEG were then dissolved in ethanol,2. Materials and Methods > 2.1 Preparation and characterization of lipid nanoparticles (LNPs)-siMicu1,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-C02,lnp_component,SHARED,DSPE-PEG,DSPE-PEG,exact,Cholesterol and DSPE-PEG were then dissolved in ethanol,2. Materials and Methods > 2.1 Preparation and characterization of lipid nanoparticles (LNPs)-siMicu1,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-C03,lnp_component,SHARED,FITC-labeled HA derivatives,FITC-labeled hyaluronic acid derivatives,synonym,0.1 mol% FITC-labeled HA derivatives were added to the lipid mixture.,2. Materials and Methods > 2.1 Preparation and characterization of lipid nanoparticles (LNPs)-siMicu1,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-P01,payload,SHARED,siMicu1,MICU1-targeting siRNA,inferred,a T-junction mixer was used to quickly mix siMicu1 and above solution,2. Materials and Methods > 2.1 Preparation and characterization of lipid nanoparticles (LNPs)-siMicu1,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-L01,targeting_ligand,unlinked/pending,ApoE,apolipoprotein E,synonym,siMicu1-LNPs associated with ApoE for targeted delivery to the liver,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-M01,molecular_target,unlinked/pending,Micu1,MICU1,synonym,the inhibition of Micu1,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-T01,tissue_or_organ,unlinked/pending,liver,liver,exact,liver was the primary target organ,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-CELL01,cell,unlinked/pending,LSECs,liver sinusoidal endothelial cells,synonym,liver sinusoidal endothelial cells (LSECs),Abstract,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
ENT-D01,disease,GP-007-E01,HIRI,hepatic ischemia-reperfusion injury,synonym,Hepatic ischemia-reperfusion injury (HIRI),Abstract,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
