experiment_id,experiment,claim_id,subject_type,subject,relation,object_type,object,evidence_quote,source_section,source_file,page_or_xml_id,human_decision,human_reason
SHARED,Shared,CL-S01,lnp_formulation,LNPs-siMicu1,has_component,lnp_component,Cholesterol,Cholesterol and DSPE-PEG were then dissolved in ethanol,2. Materials and Methods > 2.1 Preparation and characterization of lipid nanoparticles (LNPs)-siMicu1,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
SHARED,Shared,CL-S02,lnp_formulation,LNPs-siMicu1,has_component,lnp_component,DSPE-PEG,Cholesterol and DSPE-PEG were then dissolved in ethanol,2. Materials and Methods > 2.1 Preparation and characterization of lipid nanoparticles (LNPs)-siMicu1,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
SHARED,Shared,CL-S03,lnp_formulation,LNPs-siMicu1,has_component,lnp_component,FITC-labeled HA derivatives,0.1 mol% FITC-labeled HA derivatives were added to the lipid mixture.,2. Materials and Methods > 2.1 Preparation and characterization of lipid nanoparticles (LNPs)-siMicu1,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
SHARED,Shared,CL-S04,lnp_component,FITC-labeled HA derivatives,has_component_amount,dose,0.1 mol%,0.1 mol% FITC-labeled HA derivatives,2. Materials and Methods > 2.1 Preparation and characterization of lipid nanoparticles (LNPs)-siMicu1,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
SHARED,Shared,CL-S05,lnp_formulation,LNPs-siMicu1,carries_payload,payload,siMicu1,a T-junction mixer was used to quickly mix siMicu1 and above solution,2. Materials and Methods > 2.1 Preparation and characterization of lipid nanoparticles (LNPs)-siMicu1,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
SHARED,Shared,CL-S10,assay,DLS and Zeta-potential analysis,measures_endpoint,endpoint,particle size,the particle size of siMicu1-LNPs was 80.03 ± 1.19 nm,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
SHARED,Shared,CL-S11,endpoint,particle size,has_outcome_value,outcome_value,80.03 ± 1.19 nm,the particle size of siMicu1-LNPs was 80.03 ± 1.19 nm,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
SHARED,Shared,CL-S12,assay,DLS and Zeta-potential analysis,measures_endpoint,endpoint,surface potential,the surface potential was 10.12 mV,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
SHARED,Shared,CL-S13,endpoint,surface potential,has_outcome_value,outcome_value,10.12 mV,the surface potential was 10.12 mV,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
SHARED,Shared,CL-S15,assay,UPLC,measures_endpoint,endpoint,encapsulation efficiency (EE%),The encapsulation efficiency (EE%) determined by UPLC,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
SHARED,Shared,CL-S16,endpoint,encapsulation efficiency (EE%),has_outcome_value,outcome_value,71.97%,The encapsulation efficiency (EE%) determined by UPLC was 71.97%,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E01,ACT in-vivo HIRI experiment,CL-101,intervention,ACT,has_biological_model,biological_model,HIRI mice,we explored the hepatoprotective mechanisms of ACT in vivo in HIRI mice,Abstract,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E01,ACT in-vivo HIRI experiment,CL-102,intervention,ACT,has_disease_context,disease,HIRI,"ACT enhanced endoplasmic reticulum function and restored mitochondrial homeostasis, thereby alleviating LSECs damage and HIRI.",Abstract,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E02,ACT in-vitro LSEC experiment,CL-201,intervention,ACT,has_biological_model,biological_model,hypoxia-reoxygenation or lactate-stimulated LSECs,in vitro in hypoxia-reoxygenation or lactate-stimulated LSECs,Abstract,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E03,LSEC-specific Micu1-overexpression experiment,CL-302,intervention,LSECs-specific Micu1 overexpression driven by a Stab2 promoter AAV,measures_endpoint,endpoint,hepatoprotective and sinusoid-stabilizing effects of ACT,the hepatoprotective and sinusoid-stabilizing effects of ACT,4. Discussion,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E03,LSEC-specific Micu1-overexpression experiment,CL-303,endpoint,hepatoprotective and sinusoid-stabilizing effects of ACT,has_outcome_value,outcome_value,largely abolished,largely abolished,4. Discussion,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E04,ACT plus siMicu1-LNP experiment,CL-404,intervention,LNPs-siMicu1 + ACT,has_species,species,mice,mice were randomly assigned to four groups,2. Materials and Methods > 2.4 Animal studies,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E04,ACT plus siMicu1-LNP experiment,CL-406,intervention,LNPs-siMicu1,has_route,route,intravenous injection,an intravenous injection of LNPs-siMicu1,2. Materials and Methods > 2.4 Animal studies,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E04,ACT plus siMicu1-LNP experiment,CL-407,intervention,LNPs-siMicu1,has_dose,dose,5 μl/g,LNPs-siMicu1 (5 μl/g),2. Materials and Methods > 2.4 Animal studies,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E04,ACT plus siMicu1-LNP experiment,CL-408,intervention,LNPs-siMicu1,has_timepoint,timepoint,2 h prior to surgery,2 h prior to surgery,2. Materials and Methods > 2.4 Animal studies,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E04,ACT plus siMicu1-LNP experiment,CL-412,assay,in vivo fluorescence imaging analysis,measures_endpoint,endpoint,primary target organ,liver was the primary target organ,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E04,ACT plus siMicu1-LNP experiment,CL-413,endpoint,primary target organ,has_outcome_value,outcome_value,liver was the primary target organ,liver was the primary target organ,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E04,ACT plus siMicu1-LNP experiment,CL-415,endpoint,plasma AST and ALT,has_outcome_value,outcome_value,largely improved with siMicu1-LNPs and more significantly with siMicu1-LNPs plus ACT,"were largely improved in the HIRI + LNPs-siMicu1 group, more significantly in the HIRI + LNPs-siMicu1 + ACT group",3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E04,ACT plus siMicu1-LNP experiment,CL-417,endpoint,MDA and SOD activities,has_outcome_value,outcome_value,largely improved with siMicu1-LNPs and more significantly with siMicu1-LNPs plus ACT,"were largely improved in the HIRI + LNPs-siMicu1 group, more significantly in the HIRI + LNPs-siMicu1 + ACT group",3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E04,ACT plus siMicu1-LNP experiment,CL-419,endpoint,fundamental structure of liver lobules,has_outcome_value,outcome_value,significantly restored in both siMicu1-LNP treatment groups,significantly restored in HIRI + LNPs-siMicu1 and HIRI + LNPs-siMicu1 + ACT groups,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
GP-007-E04,ACT plus siMicu1-LNP experiment,CL-404A,intervention,LNPs-siMicu1,compared_with,intervention,blank-LNPs,blank-LNPs or siMicu1-LNPs,3. Results > 3.7 The anti-HIRI properties of acteoside can be partially improved with the specific inhibition of Micu1 in livers,data/raw/fulltext/gold_v1/xml/candidate_00167_PMC13137855.xml,,,
