entity_id,entity_type,experiment_scope,reported_name,normalized_name,normalization_status,evidence_quote,source_section,source_file,page_or_xml_id,human_decision,human_reason
F1,lnp_formulation,E1,unmodified LNP-mRNA,unmodified mRNA-loaded lipid nanoparticle,synonym,unmodified LNP-mRNA,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
F2,lnp_formulation,E1,CD47/LNP-mRNA,CD47 peptide-modified mRNA-loaded lipid nanoparticle,synonym,CD47/LNP-mRNA,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
F3,lnp_formulation,E2,aCD31/tLNP-Luc,anti-CD31-targeted luciferase mRNA LNP,synonym,aCD31/tLNP-Luc,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
F4,lnp_formulation,E2,CD47+aCD31/tLNP-Luc,CD47 peptide- and anti-CD31-targeted luciferase mRNA LNP,synonym,CD47+aCD31/tLNP-Luc,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
F5,lnp_formulation,E3,aCD31/tLNP-ZsGreen,anti-CD31-targeted ZsGreen mRNA LNP,synonym,aCD31/tLNP-ZsGreen,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
F6,lnp_formulation,E3,CD47+aCD31/tLNP-ZsGreen,CD47 peptide- and anti-CD31-targeted ZsGreen mRNA LNP,synonym,CD47+aCD31/tLNP-ZsGreen,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0045,,
F7,lnp_formulation,unlinked/pending,aCD4/tLNP-Luc,anti-CD4-targeted luciferase mRNA LNP,synonym,aCD4/tLNP-Luc,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0050,,
F8,lnp_formulation,unlinked/pending,CD47+aCD4/tLNP-Luc,CD47 peptide- and anti-CD4-targeted luciferase mRNA LNP,synonym,CD47+aCD4/tLNP-Luc,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0050,,
F9,lnp_formulation,E5,aCD4/tLNP-ZsGreen,anti-CD4-targeted ZsGreen mRNA LNP,synonym,unmodified aCD4/tLNP-ZsGreen,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0050,,
F10,lnp_formulation,E5,CD47+aCD4/tLNP-ZsGreen,CD47 peptide- and anti-CD4-targeted ZsGreen mRNA LNP,synonym,CD47+aCD4/tLNP-ZsGreen,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0050,,
F11,lnp_formulation,unlinked/pending,aCD117/tLNP-Luc,anti-CD117-targeted luciferase mRNA LNP,synonym,aCD117/tLNP-Luc,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
F12,lnp_formulation,E6,CD47+aCD117/tLNP-Luc,CD47 peptide- and anti-CD117-targeted luciferase mRNA LNP,synonym,CD47+aCD117/tLNP-Luc,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
