experiment_id,experiment,claim_id,subject_type,subject,relation,object_type,object,evidence_quote,source_section,source_file,page_or_xml_id,human_decision,human_reason
GP-008-E01,αCD163/LNP-FAPCAR in situ CAR-M treatment for liver fibrosis,CL1,lnp_formulation,αCD163/LNP-FAPCAR,carries_payload,payload,FAPCAR mRNA,"liposomal nanoparticles (LNP), conjugated with CD163 antibodies and encapsulating FAPCAR mRNA",Body,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
GP-008-E01,αCD163/LNP-FAPCAR in situ CAR-M treatment for liver fibrosis,CL2,payload,FAPCAR mRNA,encodes_product,encoded_product,FAPCAR,a modified nucleoside-inclusive mRNA encoding an FAP-targeted CAR sequence,Supplement page 28,data/raw/fulltext/oa_packages/PMC13229182/pnas.2534673123.sapp.pdf,28,,
GP-008-E01,αCD163/LNP-FAPCAR in situ CAR-M treatment for liver fibrosis,CL6,lnp_formulation,αCD163/LNP-FAPCAR,therapeutic_target_cell,cell,HSCs,can recognize and eliminate overactive HSCs that express FAP upon activation,Body,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
GP-008-E01,αCD163/LNP-FAPCAR in situ CAR-M treatment for liver fibrosis,CL9,intervention,αCD163/LNP-FAPCAR treatment,has_biological_model,biological_model,CCL4 fibrotic mice,both liver fibrotic (CCL4+αCD163/LNP-FAPCAR group) and normal mice (oil + αCD163/LNP-FAPCAR group),Results > Delivery of αCD163/LNP-FAPCAR to Macrophages in Fibrotic Liver via Targeted Approach.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
GP-008-E01,αCD163/LNP-FAPCAR in situ CAR-M treatment for liver fibrosis,CL10,biological_model,CCL4 fibrotic mice,has_species,species,mice,fibrotic mice induced by CCL4,Results > Delivery of αCD163/LNP-FAPCAR to Macrophages in Fibrotic Liver via Targeted Approach.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
GP-008-E01,αCD163/LNP-FAPCAR in situ CAR-M treatment for liver fibrosis,CL11,intervention,αCD163/LNP-FAPCAR treatment,has_tissue_context,tissue_or_organ,liver,liver tissues were collected from fibrotic model mice,Results > αCD163/LNP-FAPCAR Suppressed Liver Fibrosis via Facilitating Liver Tissue Repair and Inhibiting HSC Activation.,data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
GP-008-E01,αCD163/LNP-FAPCAR in situ CAR-M treatment for liver fibrosis,CL12,intervention,in-vitro αCD163/LNP FAPCAR-or-GFP-mRNA exposure,has_timepoint,timepoint,48 h,We incubated BMDMs with αCD163/LNPs containing mRNA encoding FAPCAR or GFP for 48 h in vitro.,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
GP-008-E01,αCD163/LNP-FAPCAR in situ CAR-M treatment for liver fibrosis,CL13,intervention,in-vitro αCD163/LNP FAPCAR-or-GFP-mRNA exposure,has_assay,assay,flow cytometry,Flow cytometry showed that the LNP conjugated to the αCD163 effectively delivered its mRNA cargo to target cells.,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
GP-008-E01,αCD163/LNP-FAPCAR in situ CAR-M treatment for liver fibrosis,CL14,intervention,in-vitro αCD163/LNP FAPCAR-or-GFP-mRNA exposure,measures_endpoint,endpoint,BMDM GFP or FAPCAR expression,"over 80% of the BMDMs expressed GFP or FAPCAR upon exposure to αCD163/LNP-GFP or αCD163/LNP-FAPCAR, respectively.","Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
GP-008-E01,αCD163/LNP-FAPCAR in situ CAR-M treatment for liver fibrosis,CL15,endpoint,BMDM GFP or FAPCAR expression,has_outcome_value,outcome_value,over 80%,over 80% of the BMDMs expressed GFP or FAPCAR,"Results > Design, Manufacturing, and Characterization of αCD163/LNP-FAPCAR.",data/raw/fulltext/oa_packages/PMC13229182/pnas.202534673.nxml,,,
