experiment_id,experiment,claim_id,subject_type,subject,relation,object_type,object,evidence_quote,source_section,source_file,page_or_xml_id,human_decision,human_reason
SHARED,Shared,C007,payload,Luc mRNA,encodes_product,encoded_product,luciferase,imaged luciferase biodistribution,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
SHARED,Shared,C008,payload,ZsGreen mRNA,encodes_product,encoded_product,ZsGreen,ZsGreen expression in T cells,Results > CD47 modification enhances the efficiency of tLNP-mRNA,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0050,,
SHARED,Shared,C009,payload,Cre mRNA,encodes_product,encoded_product,Cre,express ZsGreen upon Cre-mediated recombination,Results > CD47 modification enables in vivo depletion of HSCs with HSC-targeted LNP encapsulating apoptotic mRNA by reducing off-target effects,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0055,,
E1,Radiolabeled CD47/LNP-mRNA biodistribution versus unmodified LNP-mRNA,C015,lnp_formulation,CD47/LNP-mRNA,has_route,route,i.v.,LNP-mRNA were administered i.v.,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
E1,Radiolabeled CD47/LNP-mRNA biodistribution versus unmodified LNP-mRNA,C017,lnp_formulation,CD47/LNP-mRNA,has_assay,assay,radioactivity counting,prepared for radioactivity counting.,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
E1,Radiolabeled CD47/LNP-mRNA biodistribution versus unmodified LNP-mRNA,C018,lnp_formulation,CD47/LNP-mRNA,has_tissue_context,tissue_or_organ,blood,In per gram of blood,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
E1,Radiolabeled CD47/LNP-mRNA biodistribution versus unmodified LNP-mRNA,C019,lnp_formulation,CD47/LNP-mRNA,measures_endpoint,endpoint,CD47/LNP-mRNA blood retention,CD47/LNP-mRNA-treated mice showed a retention rate,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
E1,Radiolabeled CD47/LNP-mRNA biodistribution versus unmodified LNP-mRNA,C020,endpoint,CD47/LNP-mRNA blood retention,has_outcome_value,outcome_value,∼20% ID/g,∼20% of the injected dosage (ID/g),Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
E1,Radiolabeled CD47/LNP-mRNA biodistribution versus unmodified LNP-mRNA,C021,lnp_formulation,unmodified LNP-mRNA,measures_endpoint,endpoint,unmodified LNP-mRNA blood retention,only about 4% ID/g in unmodified LNP-mRNA-treated mice,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
E1,Radiolabeled CD47/LNP-mRNA biodistribution versus unmodified LNP-mRNA,C022,endpoint,unmodified LNP-mRNA blood retention,has_outcome_value,outcome_value,about 4% ID/g,about 4% ID/g,Results > CD47 modification of LNP-mRNA promotes macrophage evasion in vitro and reduces liver uptake in vivo,data/raw/fulltext/gold_v1/xml/candidate_00186_PMC12265960.xml,p0035,,
