experiment_id,experiment,claim_id,subject_type,subject,relation,object_type,object,evidence_quote,source_section,source_file,page_or_xml_id,human_decision,human_reason
SHARED,Shared,CLM-S01,lnp_formulation,mRNA-LNP,has_component,lnp_component,ionizable cationic lipid,"LNP used in this study contain an ionizable cationic lipid (pKa in the range of 6.0–6.5, proprietary to Acuitas Therapeutics) / phosphatidylcholine / cholesterol / PEG-lipid53,54.",Methods > LNP formulation of the mRNA,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par18,,
SHARED,Shared,CLM-S02,lnp_formulation,mRNA-LNP,has_component,lnp_component,phosphatidylcholine,"LNP used in this study contain an ionizable cationic lipid (pKa in the range of 6.0–6.5, proprietary to Acuitas Therapeutics) / phosphatidylcholine / cholesterol / PEG-lipid53,54.",Methods > LNP formulation of the mRNA,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par18,,
SHARED,Shared,CLM-S03,lnp_formulation,mRNA-LNP,has_component,lnp_component,cholesterol,"LNP used in this study contain an ionizable cationic lipid (pKa in the range of 6.0–6.5, proprietary to Acuitas Therapeutics) / phosphatidylcholine / cholesterol / PEG-lipid53,54.",Methods > LNP formulation of the mRNA,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par18,,
SHARED,Shared,CLM-S04,lnp_formulation,mRNA-LNP,has_component,lnp_component,PEG-lipid,"LNP used in this study contain an ionizable cationic lipid (pKa in the range of 6.0–6.5, proprietary to Acuitas Therapeutics) / phosphatidylcholine / cholesterol / PEG-lipid53,54.",Methods > LNP formulation of the mRNA,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par18,,
GP-004-E01,Luciferase mRNA-LNP expression kinetics after intravenous administration,CLM-E01-01,intervention,Luc mRNA-LNP,has_formulation,lnp_formulation,mRNA-LNP,firefly luciferase encoding mRNA-LNP (Luc mRNA-LNP),Results > Retro-orbital injection directs nucleoside-modified mRNA-LNP to liver,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par6,,
GP-004-E01,Luciferase mRNA-LNP expression kinetics after intravenous administration,CLM-E01-02,lnp_formulation,mRNA-LNP,carries_payload,payload,firefly luciferase encoding mRNA,firefly luciferase encoding mRNA-LNP (Luc mRNA-LNP),Results > Retro-orbital injection directs nucleoside-modified mRNA-LNP to liver,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par6,,
GP-004-E01,Luciferase mRNA-LNP expression kinetics after intravenous administration,CLM-E01-03,payload,firefly luciferase encoding mRNA,encodes_product,encoded_product,firefly luciferase,linearized plasmid encoding codon-optimized firefly luciferase (Luc),Methods > mRNA production,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par17,,
GP-004-E01,Luciferase mRNA-LNP expression kinetics after intravenous administration,CLM-E01-04,intervention,Luc mRNA-LNP,has_species,species,mice,tail vein (n = 2 mice) or retro-orbital (n = 6 mice) injection of Luc mRNA-LNP.,Results > Retro-orbital injection directs nucleoside-modified mRNA-LNP to liver,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par6,,
GP-004-E01,Luciferase mRNA-LNP expression kinetics after intravenous administration,CLM-E01-05A,intervention,Luc mRNA-LNP,has_route,route,tail-vein injection,tail vein (n = 2 mice),Results > Retro-orbital injection directs nucleoside-modified mRNA-LNP to liver,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par6,,
GP-004-E01,Luciferase mRNA-LNP expression kinetics after intravenous administration,CLM-E01-05B,intervention,Luc mRNA-LNP,has_route,route,retro-orbital injection,retro-orbital (n = 6 mice) injection,Results > Retro-orbital injection directs nucleoside-modified mRNA-LNP to liver,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par6,,
GP-004-E01,Luciferase mRNA-LNP expression kinetics after intravenous administration,CLM-E01-06,intervention,Luc mRNA-LNP,has_dose,dose,5 μg Luc mRNA-LNP/20 g body weight,5 μg Luc mRNA-LNP/20 g body weight,Results > Retro-orbital injection directs nucleoside-modified mRNA-LNP to liver,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par6,,
GP-004-E01,Luciferase mRNA-LNP expression kinetics after intravenous administration,CLM-E01-07,intervention,Luc mRNA-LNP,has_assay,assay,bioluminescence,Both delivery methods led to liver restricted Luc mRNA-LNP expression as measured by bioluminescence,Results > Retro-orbital injection directs nucleoside-modified mRNA-LNP to liver,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par6,,
GP-004-E01,Luciferase mRNA-LNP expression kinetics after intravenous administration,CLM-E01-08,intervention,Luc mRNA-LNP,measures_endpoint,endpoint,Luc activity,The highest Luc activity was detected as early as 5 h after injection,Results > Retro-orbital injection directs nucleoside-modified mRNA-LNP to liver,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par6,,
GP-004-E01,Luciferase mRNA-LNP expression kinetics after intravenous administration,CLM-E01-09,endpoint,Luc activity,has_outcome_value,outcome_value,highest activity at 5 h and stable for 24 h,"The highest Luc activity was detected as early as 5 h after injection, and remained stable for 24 h.",Results > Retro-orbital injection directs nucleoside-modified mRNA-LNP to liver,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par6,,
GP-004-E01,Luciferase mRNA-LNP expression kinetics after intravenous administration,CLM-E01-10,endpoint,Luc activity,has_outcome_value,outcome_value,baseline activity at day 8,finally reach baseline activity at day 8 post-injection,Results > Retro-orbital injection directs nucleoside-modified mRNA-LNP to liver,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par6,,
GP-004-E02,HGF mRNA-LNP induction of hepatocyte proliferation in homeostasis,CLM-E02-01,intervention,HGF mRNA-LNP,has_formulation,lnp_formulation,mRNA-LNP,HGF mRNA-LNP,Results > Nucleoside-modified HGF mRNA-LNP induces hepatocyte proliferation in homeostasis,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par9,,
GP-004-E02,HGF mRNA-LNP induction of hepatocyte proliferation in homeostasis,CLM-E02-02,lnp_formulation,mRNA-LNP,carries_payload,payload,HGF mRNA,HGF mRNA-LNP,Results > Nucleoside-modified HGF mRNA-LNP induces hepatocyte proliferation in homeostasis,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par9,,
GP-004-E02,HGF mRNA-LNP induction of hepatocyte proliferation in homeostasis,CLM-E02-03,payload,HGF mRNA,encodes_product,encoded_product,HGF,mRNA-LNP encoding the mitogen HGF,Results > Nucleoside-modified HGF mRNA-LNP induces hepatocyte proliferation in homeostasis,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par9,,
GP-004-E02,HGF mRNA-LNP induction of hepatocyte proliferation in homeostasis,CLM-E02-04,intervention,HGF mRNA-LNP,has_species,species,mice,When mice were given a single injection of HGF mRNA-LNP,Results > Nucleoside-modified HGF mRNA-LNP induces hepatocyte proliferation in homeostasis,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par9,,
GP-004-E02,HGF mRNA-LNP induction of hepatocyte proliferation in homeostasis,CLM-E02-05,intervention,HGF mRNA-LNP,has_physiological_context,physiological_state,homeostatic context,in a homeostatic context,Results > Nucleoside-modified HGF mRNA-LNP induces hepatocyte proliferation in homeostasis,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par9,,
GP-004-E02,HGF mRNA-LNP induction of hepatocyte proliferation in homeostasis,CLM-E02-06,intervention,HGF mRNA-LNP,has_route,route,IV injection,a single IV injection of mRNA-LNP encoding the mitogen HGF,Results > Nucleoside-modified HGF mRNA-LNP induces hepatocyte proliferation in homeostasis,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par9,,
GP-004-E02,HGF mRNA-LNP induction of hepatocyte proliferation in homeostasis,CLM-E02-07,intervention,HGF mRNA-LNP,has_dose,dose,10 μg mRNA-LNP/20 g body weight,10 μg mRNA-LNP/20 g body weight,Results > Nucleoside-modified HGF mRNA-LNP induces hepatocyte proliferation in homeostasis,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par9,,
GP-004-E02,HGF mRNA-LNP induction of hepatocyte proliferation in homeostasis,CLM-E02-08,intervention,HGF mRNA-LNP,therapeutic_target_cell,cell,hepatocytes,assessing 5-ethynyl-2′-deoxyuridine (EdU) incorporation in hepatocytes,Results > Nucleoside-modified HGF mRNA-LNP induces hepatocyte proliferation in homeostasis,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par9,,
GP-004-E02,HGF mRNA-LNP induction of hepatocyte proliferation in homeostasis,CLM-E02-09,intervention,HGF mRNA-LNP,has_assay,assay,EdU incorporation,assessing 5-ethynyl-2′-deoxyuridine (EdU) incorporation,Results > Nucleoside-modified HGF mRNA-LNP induces hepatocyte proliferation in homeostasis,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par9,,
GP-004-E02,HGF mRNA-LNP induction of hepatocyte proliferation in homeostasis,CLM-E02-10,intervention,HGF mRNA-LNP,measures_endpoint,endpoint,EdU+ proliferative cell numbers,HGF mRNA-LNP induced a marked increase in EdU+ proliferative cell numbers,Results > Nucleoside-modified HGF mRNA-LNP induces hepatocyte proliferation in homeostasis,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par9,,
GP-004-E02,HGF mRNA-LNP induction of hepatocyte proliferation in homeostasis,CLM-E02-11,endpoint,EdU+ proliferative cell numbers,has_outcome_value,outcome_value,marked increase in EdU+ proliferative cell numbers,HGF mRNA-LNP induced a marked increase in EdU+ proliferative cell numbers,Results > Nucleoside-modified HGF mRNA-LNP induces hepatocyte proliferation in homeostasis,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par9,,
GP-004-E02,HGF mRNA-LNP induction of hepatocyte proliferation in homeostasis,CLM-E02-12,intervention,HGF mRNA-LNP,measures_endpoint,endpoint,HNF4α+ EdU+ hepatocytes,121-fold increase of EdU+ HNF4α+ hepatocytes in HGF mRNA-LNP-treated mice compared to control Poly(C) RNA-treated mice,Results > Nucleoside-modified HGF mRNA-LNP induces hepatocyte proliferation in homeostasis,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par9,,
GP-004-E02,HGF mRNA-LNP induction of hepatocyte proliferation in homeostasis,CLM-E02-13,endpoint,HNF4α+ EdU+ hepatocytes,has_outcome_value,outcome_value,61.25 ± 10.66%,61.25 ± 10.66%,Results > Nucleoside-modified HGF mRNA-LNP induces hepatocyte proliferation in homeostasis,data/raw/fulltext/oa_packages/PMC7840919/41467_2021_Article_20903.nxml,Par9,,
