experiment_id,experiment,claim_id,subject_type,subject,relation,object_type,object,evidence_quote,source_section,source_file,page_or_xml_id,human_decision,human_reason
SHARED,Shared,CL-S01,lnp_formulation,LNP,has_component,lnp_component,MC3,"The lipid components (MC3, DSPC, Chol, and PEG2000‐lipid)",Experimental Methods > Fabrication of RNA‐LNP,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,,
SHARED,Shared,CL-S02,lnp_formulation,LNP,has_component,lnp_component,DSPC,"The lipid components (MC3, DSPC, Chol, and PEG2000‐lipid)",Experimental Methods > Fabrication of RNA‐LNP,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,,
SHARED,Shared,CL-S03,lnp_formulation,LNP,has_component,lnp_component,Chol,"The lipid components (MC3, DSPC, Chol, and PEG2000‐lipid)",Experimental Methods > Fabrication of RNA‐LNP,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,,
SHARED,Shared,CL-S04,lnp_formulation,LNP,has_component,lnp_component,PEG2000‐lipid,"The lipid components (MC3, DSPC, Chol, and PEG2000‐lipid)",Experimental Methods > Fabrication of RNA‐LNP,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,,
GP-005-E01,LNP1 uptake/translation and co-encapsulated mRNA–siRNA LNP studies,CL-E01-01,intervention,injection of Egfp mRNA‐LNP (LNP1),has_formulation,lnp_formulation,Egfp mRNA‐LNP (LNP1),injection of DMSO and 2 mg k−1g Egfp mRNA‐LNP (LNP1) into C57BL6J wild type mice.,Results and Discussion > Exploring Egfp mRNA Translation Efficiency Across Liver Cell Types,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,,
GP-005-E01,LNP1 uptake/translation and co-encapsulated mRNA–siRNA LNP studies,CL-E01-04,intervention,injection of Egfp mRNA‐LNP (LNP1),has_biological_model,biological_model,C57BL6J wild type mice,into C57BL6J wild type mice.,Results and Discussion > Exploring Egfp mRNA Translation Efficiency Across Liver Cell Types,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,,
GP-005-E01,LNP1 uptake/translation and co-encapsulated mRNA–siRNA LNP studies,CL-E01-05,biological_model,C57BL6J wild type mice,has_species,species,mice,C57BL6J wild type mice,Results and Discussion > Exploring Egfp mRNA Translation Efficiency Across Liver Cell Types,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,,
GP-005-E01,LNP1 uptake/translation and co-encapsulated mRNA–siRNA LNP studies,CL-E01-06,intervention,injection of Egfp mRNA‐LNP (LNP1),has_dose,dose,2 mg k−1g,2 mg k−1g Egfp mRNA‐LNP (LNP1),Results and Discussion > Exploring Egfp mRNA Translation Efficiency Across Liver Cell Types,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,,
GP-005-E01,LNP1 uptake/translation and co-encapsulated mRNA–siRNA LNP studies,CL-E01-07,intervention,injection of Egfp mRNA‐LNP (LNP1),has_timepoint,timepoint,16 h after the injection,16 h after the injection,Results and Discussion > Exploring Egfp mRNA Translation Efficiency Across Liver Cell Types,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,,
GP-005-E01,LNP1 uptake/translation and co-encapsulated mRNA–siRNA LNP studies,CL-E01-08,intervention,injection of Egfp mRNA‐LNP (LNP1),has_tissue_context,tissue_or_organ,liver,Intravital microscopy of liver,Results and Discussion > Exploring Egfp mRNA Translation Efficiency Across Liver Cell Types,data/raw/fulltext/gold_v1/xml/candidate_00082_PMC11884593.xml,,,
